sku,handle,title,vendor,product_type,min_price,max_price,avg_price,currency,url,description,tags,created_at,updated_at,published_at
,cancer-awareness-dice-set,Cancer Awareness Dice Set,Sirius Dice,Polyhedral Dice Set,20,20,20,,https://siriusdice.com/products/cancer-awareness-dice-set,"A 7-piece polyhedral dice set with an extra advantage/disadvantage D20 packaged in a sturdy reuseable flat-bottomed tube. This set features clear resin dice with floating cancer ribbons. Each die features one of 25 ribbon and ink colors, each signifying a different cancer type to show our support for everyone affected by this disease. Each D20 displays the the ribbon symbol in white ink on the #20 panel.
20% of the proceeds from the sale of this set goes to support SURVIVEiT, a nonprofit providing newly diagnosed cancer patients and their caregivers with a way to navigate the onslaught of information and ensure you get the the best diagnosis and treatment for your individual situation.","Charity, Dice, polyhedral dice, polyhedral dice set, unique dice sets",2021-01-28T16:56:39-05:00,2025-08-08T14:57:26-04:00,2021-03-02T23:19:16-05:00
,dice-set-star-spangled-banner,Star Spangled Banner Dice Set,Sirius Dice,Polyhedral Dice Set,15.99,15.99,15.99,,https://siriusdice.com/products/dice-set-star-spangled-banner,"Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice. Style: Star Spangled Banner.  Red, Clear and Blue with floating stars","Blue, Dice, Filled, Red, white",2021-01-20T18:40:48-05:00,2025-08-08T14:57:25-04:00,2023-08-21T18:38:29-04:00
,summer-berries,Summer Berries Dice Set,Sirius Dice,Polyhedral Dice Set,10,10,10,,https://siriusdice.com/products/summer-berries,"Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.
Colors: Pink blue and purple dice with a slight sparkleD20 size: 20mm","blue dice, Pink, pink dice, Purple, purple dice",2021-08-13T15:11:23-04:00,2025-08-08T14:57:26-04:00,2021-10-14T18:07:17-04:00
,dice-set-frosted-glowworm,Frosted Glowworm Dice Set,Sirius Dice,Polyhedral Dice Set,10,10,10,,https://siriusdice.com/products/dice-set-frosted-glowworm,"Opalescent pastel glow-in-the-dark dice set. Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice. Style: Frosted Glowworm
Colors: pastel glow in the dark dice set","Dice, frosted glass dice, glow in the dark dice, glow in the dark dice set, green, white",2021-01-20T18:40:48-05:00,2025-08-08T14:57:25-04:00,2021-01-20T18:40:48-05:00
,dice-set-maple-leaf,Maple Leaf Dice Set,Sirius Dice,Polyhedral Dice Set,15.99,15.99,15.99,,https://siriusdice.com/products/dice-set-maple-leaf,"Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice. Style: Maple Leaf. Yellow, red and clear with floating maple leaves.  Go Canada!","Dice, polyhedral dice, polyhedral dice set, Red",2021-01-20T18:40:49-05:00,2025-08-08T14:57:26-04:00,2021-01-20T18:40:49-05:00
,dice-set-lotus-glowworm,Lotus Glowworm Dice Set,Sirius Dice,Polyhedral Dice Set,10,10,10,,https://siriusdice.com/products/dice-set-lotus-glowworm,"Set of 7 polyhedral dice in gushing watermelon colors, plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice. Style: Lotus Glowworm. Glow in the dark coral, white and green
Colors: Watermelon glow in the dark dice set","Dice, glow in the dark dice, glow in the dark dice set, watermelon",2021-01-20T18:40:49-05:00,2025-08-08T14:57:26-04:00,2021-01-20T18:40:49-05:00
,folding-hexagonal-dice-tray,Folding Reversible Hexagonal Dice Tray,Sirius Dice,Accessories,17.99,17.99,17.99,,https://siriusdice.com/products/folding-hexagonal-dice-tray,Hexagonal dice tray lays flat for easy transport. Then snaps together for rolling dice!  Black leather outside with burgundy felt inside. Can be reversed.,Accessories,2021-01-20T20:48:17-05:00,2025-08-08T14:57:26-04:00,2024-04-03T11:49:58-04:00
,folding-rectangular-dice-tray,Folding Rectangular Dice Tray,Sirius Dice,Accessories,19.99,19.99,19.99,,https://siriusdice.com/products/folding-rectangular-dice-tray,Rectangular dice tray lays flat for transport. Then snap it together to use as a dice tray.  Black leather outside and purple felt inside. Can be reversed.  Add size.,Accessories,2021-01-20T20:50:29-05:00,2025-08-08T14:57:26-04:00,2024-04-03T11:49:35-04:00
,persimmon-punch,Persimmon Punch Dice Set,Sirius Dice,Polyhedral Dice Set,10,10,10,,https://siriusdice.com/products/persimmon-punch,"Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.
Colors: Orange blue and green with a slight sparkle.D20 size: 20mm","Blue, green, Orange, polyhedral dice",2021-08-13T13:48:22-04:00,2025-08-08T14:57:26-04:00,2021-10-14T18:07:16-04:00
,cotton-candy-glowworm,Cotton Candy Glowworm Dice Set,Sirius Dice,Polyhedral Dice Set,16,16,16,,https://siriusdice.com/products/cotton-candy-glowworm,"Glow-in-the-dark beads inside translucent resin. Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.
Colors: Blue and purple beaded glow in the dark dice setD20 size: 22mm","Blue, Dice, glow in the dark dice, glow in the dark dice set, polyhedral dice, polyhedral dice set, Purple",2021-08-13T15:16:40-04:00,2025-08-08T14:57:27-04:00,2021-08-21T12:03:51-04:00
,dice-set-blue-cloak-dagger,Cloak & Dagger - Blue Dice Set,Sirius Dice,Polyhedral Dice Set,65,65,65,,https://siriusdice.com/products/dice-set-blue-cloak-dagger,"Add excitement and intrigue to your game with this ultra premium sharp-edged polyhedral dice set.  Roll the die and reveal the result by using the accompanying UV light pen.  These nice dice are hand polished sharp-edged translucent dice with an opalescent shimmer inside.
Color: Blue
D20 size: 21mm","Blue, cool dice, Dice, nice dice, polyhedral dice, polyhedral dice set, sharp edge dice, Sharp-edge, UV",2021-10-03T15:46:06-04:00,2025-08-08T14:57:27-04:00,2021-10-04T18:50:28-04:00
,pink-cloak-dagger,Cloak & Dagger - Pink Dice Set,Sirius Dice,Dice Sets,65,65,65,,https://siriusdice.com/products/pink-cloak-dagger,"Add excitement and intrigue to your game with this ultra premium sharp-edged polyhedral dice set.  Roll the die and reveal the result by using the accompanying UV light pen.  These nice dice are hand polished sharp-edged translucent dice with an opalescent shimmer inside.
Color: Pink
D20 size: 21mm","cool dice, Dice, nice dice, Pink, pink dice, pink dice set, polyhedral dice, polyhedral dice set, sharp edge dice, Sharp-edge, UV",2021-11-24T11:45:34-05:00,2025-08-08T14:57:28-04:00,2021-11-25T17:50:33-05:00
,dice-set-sharp-cyprus,Sharp Cyprus Dice Set,Sirius Dice,Polyhedral Dice Set,35,35,35,,https://siriusdice.com/products/dice-set-sharp-cyprus,"This gorgeous blue and green swirled sharp-edged dice set will brighten your game.  Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your nice dice. 
Style: Sharp Cyprus
Colors Clear, blue, green with gold ink
D20 Size: 22mm","Blue, Dice, good dice, green, nice dice, sharp edge dice, Sharp-edge",2022-02-19T12:37:12-05:00,2025-08-08T14:57:28-04:00,2022-02-26T13:53:21-05:00
,dice-set-poison-nebula,Poison Neb. Dice Set,Sirius Dice,Polyhedral Dice Set,13,13,13,,https://siriusdice.com/products/dice-set-poison-nebula,"Our Neb.dice series features swirls and a bit of sparkle.  The Poison Neb. features a set of 7 polyhedral dice in yellow/green and black swirls plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.
Style: Poison Neb.
Colors: Yellow/green with black
D20 Size: 22mm","Black, green, Sparkle",2022-06-06T16:36:12-04:00,2025-08-08T14:57:28-04:00,2022-06-06T16:36:13-04:00
,dice-set-skybox-nebula,Skybox Neb. Dice Set,Sirius Dice,Polyhedral Dice Set,13,13,13,,https://siriusdice.com/products/dice-set-skybox-nebula,"Our Neb. dice series features swirls and a bit of sparkle.  The Skybox Neb. features a set of 7 polyhedral dice in green with purple swirls plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice. Green dice set.
Style: Skybox Neb.
Colors: Green with purple, gold ink
D20 Size: 22mm","emerald dice set, green, green dice set, polyhedral dice, polyhedral dice set",2022-06-06T16:41:28-04:00,2025-08-08T14:57:29-04:00,2022-06-06T16:42:57-04:00
,fireworks-stackables-set,Fireworks Stackables D6 Dice Set,Sirius Dice,D6 Dice,20,20,20,,https://siriusdice.com/products/fireworks-stackables-set,"Celebrate Independence Day (or Guy Fawkes Night!) with this patriotic set of three aluminum D6 dice! These nice dice come in the colors of the Stars and Stripes or Union Jack. Each D6 contains a different design that can be mixed and matched to create a variety of scenes when the dice are stacked.

Co-created with our partners at LevelUp Dice.
Only 1250 of these sets have been produced
Metal dice made of anodized aluminum and engraved to ensure precise rolls
Each number has a distinct design
Comes in a windows gift box that shows of the dice set
D6 dice sizes are 1x20mm, 1x16mm and 1x12mm","4th of July, cool dice, D6, metal d&d dice, metal dice sets, metal dnd dice, nice dice, patriotic dice, red white and blue dice",2022-06-13T17:18:11-04:00,2025-08-08T14:57:29-04:00,2022-06-13T17:18:13-04:00
,purple-cloak-dagger,Cloak & Dagger - Purple Dice Set,Sirius Dice,Polyhedral Dice Set,65,65,65,,https://siriusdice.com/products/purple-cloak-dagger,"Add excitement and intrigue to your game with this ultra premium sharp edge dice set.  Roll the die and reveal the result by using the accompanying UV light pen.  These nice dice are hand polished sharp-edged translucent dice with an opalescent shimmer inside.
Color: Purple
D20 size: 21mm","polyhedral dice, purple dnd dice set, sharp edge dice, Sharp-edge, UV",2021-11-24T11:42:13-05:00,2025-08-08T14:57:28-04:00,2021-11-25T17:50:32-05:00
,dice-set-cherry-nebula,Cherry Neb. Dice Set,Sirius Dice,Polyhedral Dice Set,13,13,13,,https://siriusdice.com/products/dice-set-cherry-nebula,"Our Neb. dice series features swirls and a bit of sparkle.  The Cherry Neb. features a set of 7 polyhedral dice in red with black swirls plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.
Style: Cherry Neb.
Colors: Red with black, white ink
D20 Size: 22mm","Black, polyhedral dice, Red",2022-06-06T16:39:37-04:00,2025-08-08T14:57:28-04:00,2022-06-06T16:40:51-04:00
,dice-set-seamoss,Seamoss Dice Set,Sirius Dice,Polyhedral Dice Set,13,13,13,,https://siriusdice.com/products/dice-set-seamoss,"Our glazed dice series features clouds of color swirled with color and a bit of sparkle.  The Seamoss set features a set of 7 polyhedral dice in green, copper and black plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.
Style: Seamoss
Colors: Green, black and copper, white ink
D20 Size: 22mm","emerald dice set, glaze, green, green dice set",2022-07-13T14:21:07-04:00,2025-08-08T14:57:29-04:00,2022-07-13T16:51:35-04:00
,dice-set-mojito,Mojito Dice Set,Sirius Dice,Polyhedral Dice Set,15.99,15.99,15.99,,https://siriusdice.com/products/dice-set-mojito,"Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.
Style: Mojito. blue, green and yellow layered hues","Blue, Dice, green, Layered",2021-01-20T18:40:48-05:00,2025-08-08T14:57:25-04:00,2021-01-20T18:40:48-05:00
,dice-set-clear-cloak-dagger,Cloak & Dagger - Clear Dice Set,Sirius Dice,Dice Sets,65,65,65,,https://siriusdice.com/products/dice-set-clear-cloak-dagger,"Add excitement and intrigue to your game with this ultra premium sharp edge dice set.  Roll the die and reveal the result by using the accompanying UV light pen.  These nice dice are hand polished sharp-edged translucent dice with an opalescent shimmer inside.
Color: Crystal Clear cool dice
D20 size: 21mm","Clear, cool dice, Dice, polyhedral dice, polyhedral dice set, sharp edge dice, Sharp-edge, UV",2021-10-03T15:44:26-04:00,2025-08-08T14:57:27-04:00,2021-10-04T18:50:27-04:00
,dice-set-illusory-metal-gold,Illusory Metal Dice Set - Gold,Sirius Dice,Polyhedral Dice Set,25,25,25,,https://siriusdice.com/products/dice-set-illusory-metal-gold,"Our Illusory Metal dice look like metal but have the great weight and feel of resin!  Each set features glyphs and numbers with a vintage feel.  This Gold set features a set of 7 polyhedral dice packaged in a windowed tin, so you can easily carry and store your dice.
Style: Illusory Metal - Gold
Colors: Gold, black ink
Material: Resin
D20 Size: 23mm","Gold, Illusory Metal, polyhedral dice, polyhedral dice set, Resin, vintage",2022-07-16T13:08:21-04:00,2025-08-08T14:57:30-04:00,2022-07-16T13:10:04-04:00
,dice-set-dragonfruit,Dragonfruit Dice Set,Sirius Dice,Polyhedral Dice Set,13,13,13,,https://siriusdice.com/products/dice-set-dragonfruit,"Our glazed dice series features clouds of color swirled with a bit of sparkle.  The Dragonfruit set features a set of 7 polyhedral dice in bright hues of red, fuchsia, purple and gray plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.
Style: Dragonfruit
Colors: Red, fuchsia, purple and gray, white ink
D20 Size: 22mm","glaze, Gray, Pink, pink dice, pink dice set, Purple, Red, red dice",2022-07-13T14:33:33-04:00,2025-08-08T14:57:29-04:00,2022-07-13T16:51:36-04:00
,dice-set-celestial-autumn-dawn,Celestial - Autumn Dawn Dice Set,Sirius Dice,Polyhedral Dice Set,16,16,16,,https://siriusdice.com/products/dice-set-celestial-autumn-dawn,"Our Celestial series captures the interplay of light and color in the skies above.  The Autumn Dawn set features 7 pink polyhedral dice with the pink of morning sky and the iridescent gleam of the sun peaking above the horizon.  Each set includes a 1 extra D20 and comes packaged in a flat-bottom tube, for easy carrying and storage.

Style: Autumn Dawn

Colors:  Sparkling pink dice set mixed with iridescent green flakes

D20 Size: 22mm","celestial, iridescent, Pink, pink dice, pink dice set, Sparkle",2022-09-20T17:46:25-04:00,2025-08-08T14:57:30-04:00,2022-09-22T17:07:46-04:00
,large-54mm-d20-hallowenn-snow-globe,Halloween Snow Globe 54mm D20,Sirius Dice,Specialty Dice,10,10,10,,https://siriusdice.com/products/large-54mm-d20-hallowenn-snow-globe,"Bring the magic of Halloween to your Dungeons & Dragons (D&D) or RPG sessions with this spooky, oversized D20 snowglobe die! Designed for tabletop role-playing games, this sharp-edged resin dice features glowing jack-o’-lanterns and bats swirling in festive orange glitter with every roll, perfect for adding a touch of Samhain to your game night.
Whether you're playing D&D, Pathfinder, or another RPG, this 54mm Halloween-themed D20 is a must-have for any dice collection. Ideal for creating a haunting atmosphere at your tabletop, this dice will elevate your Halloween RPG campaigns.
Key Features:


Halloween D20 Dice: A perfect addition for any spooky-themed RPG or D&D session.

Sharp-edged design: Ideal for RPG enthusiasts who appreciate precision and style.

Color: Gold-inked numbers with glowing orange glitter, jack-o’-lanterns, and bats.

Oversized D20: 54mm – large enough to stand out in any tabletop role-playing game.

Bring Halloween to your D&D adventures with this unique, festive D20 dice and immerse your party in the spirit of Samhain!","d 20 dice, D20, d20 dice, Dice, Halloween, nice dice, Orange, Snowglobe",2022-09-21T22:17:27-04:00,2025-08-08T14:57:30-04:00,2025-04-27T09:54:11-04:00
,dice-set-illusory-metal-copper,Illusory Metal Dice Set - Copper,Sirius Dice,Polyhedral Dice Set,25,25,25,,https://siriusdice.com/products/dice-set-illusory-metal-copper,"Our Illusory Metal dice look like metal but have the great weight and feel of resin!  Each set features glyphs and numbers with a vintage feel.  This Copper set features a set of 7 polyhedral dice packaged in a windowed tin, so you can easily carry and store your dice.
Style: Illusory Metal - Copper
Colors: Copper, black ink
Material: Resin
D20 Size: 23mm","copper, Illusory Metal, polyhedral dice, polyhedral dice set, Resin, Vintage",2022-07-16T13:00:03-04:00,2025-08-08T14:57:30-04:00,2022-07-16T13:06:27-04:00
,dice-set-celestial-ocean-dusk,Celestial - Ocean Dusk Dice Set,Sirius Dice,Polyhedral Dice Set,16,16,16,,https://siriusdice.com/products/dice-set-celestial-ocean-dusk,"Our Celestial series captures the interplay of light and color in the skies above.  The Ocean Dusk set features 7 polyhedral dice with the soft orange of the setting sun and bright blue of tropical seas.  Each set includes a 1 extra D20 and comes packaged in a flat-bottom tube, for easy carrying and storage.

Style: Ocean Dusk

Colors: Layered orange, green, and blue all mixed with sparkles.

D20 Size: 22mm","Blue, celestial, green, Orange",2022-09-20T17:54:06-04:00,2025-08-08T14:57:30-04:00,2022-09-22T17:08:03-04:00
,12mm-diamonds-d6-dice-set,12mm Diamonds D6 Dice Set,Sirius Dice,D6 Dice,25,25,25,,https://siriusdice.com/products/12mm-diamonds-d6-dice-set,"Gaming dice set: Diamonds float in layers of glistening clear and red resin.  Eighteen (18) D6 dice in a square cube.  Dice are red and sparkling clear resin.

Style: Diamonds
Colors: red & clear

D6 Size: 12mm","D6, diamonds, miniatures dice, Pink, Red, wargaming dice",2022-10-11T16:46:17-04:00,2025-08-08T14:57:32-04:00,2022-11-01T12:40:14-04:00
,d8-dice-healing-hands,Healing Hands D8 Dice,Sirius Dice,D8 Dice,16,16,16,,https://siriusdice.com/products/d8-dice-healing-hands,Increase your healing spells with these Healing Hands dice!  8 D8 dice in a flat-bottomed tube.  Dice feature blue and white swirls with a metal hand reaching out to help!,"D8, rpg dice",2021-03-11T18:06:17-05:00,2025-08-08T14:57:26-04:00,2021-03-12T12:53:59-05:00
,12mm-tahitian-sunset-d6-dice-set,12mm Tahitian Sunset D6 Dice Set,Sirius Dice,D6 Dice,20,20,20,,https://siriusdice.com/products/12mm-tahitian-sunset-d6-dice-set,"Tropical hues of yellow, orange, pink, and purple infused with light-catching glitter.  Eighteen (18) D6 dice in a square cube.  
Style: Tahitian Sunset
Colors: yellow, orange, pink, and purple
D6 Size: 12mm","D6, miniatures dice, Orange, Pink, Purple, wargaming dice, Yellow",2022-10-11T17:37:34-04:00,2025-08-08T14:57:33-04:00,2022-11-01T12:39:39-04:00
,dice-set-translucent-green-resin,Translucent Green Resin Dice Set,Sirius Dice,Polyhedral Dice Set,8.99,8.99,8.99,,https://siriusdice.com/products/dice-set-translucent-green-resin,"Set of 7 polyhedral dice plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice. Style: Translucent Green Dice Set.","green, green dice set, polyhedral dice, polyhedral dice set",2021-01-20T18:40:35-05:00,2025-08-08T14:57:21-04:00,2021-01-20T18:40:35-05:00
,dice-set-celestial-starry-skies,Celestial - Starry Skies Dice Set,Sirius Dice,Polyhedral Dice Set,16,16,16,,https://siriusdice.com/products/dice-set-celestial-starry-skies,"Our Celestial series captures the interplay of light and color in the skies above.  The Starry Skies set features 7 polyhedral dice with the vibrant nighttime blue and the muted red of rain clouds set against the twinkling stars.  Each set includes a 1 extra D20 and comes packaged in a flat-bottom tube, for easy carrying and storage.

Style: Starry Skies

Colors: blue and red mixed with sparkles.

D20 Size: 22mm","Blue, celestial, Red, Sparkle",2022-09-20T17:58:05-04:00,2025-08-08T14:57:30-04:00,2022-09-22T17:07:07-04:00
,16mm-northern-lights-d6-dice-set,16mm Northern Lights D6 Dice Set,Sirius Dice,D6 Dice,20,20,20,,https://siriusdice.com/products/16mm-northern-lights-d6-dice-set,"Golden pips contrast glittering layers of pastel green, blue, and purple. Twelve (12) D6 dice in a rectangular cube.  
Style: Northern Lights
Colors: green, blue, magenta
D6 Size: 16mm","Blue, D6, green, miniatures dice, Purple, wargaming dice",2022-10-11T17:47:14-04:00,2025-08-08T14:57:33-04:00,2022-11-01T12:39:32-04:00
,dice-set-purple-glaze,Purple Glaze Dice Set,Sirius Dice,Polyhedral Dice Set,13,13,13,,https://siriusdice.com/products/dice-set-purple-glaze,"Our glazed dice series features clouds of color swirled with color and a bit of sparkle.  The Purple Glaze set features a set of 7 polyhedral dice in purple and white plus 1 extra D20. Packaged in a flat-bottom tube, so you can easily carry and store your dice.
Style: Purple Glaze
Colors: Purple and white, white ink
D20 Size: 22mm","glaze, polyhedral dice, polyhedral dice set, Purple",2022-07-13T14:29:21-04:00,2025-08-08T14:57:29-04:00,2022-07-13T16:51:35-04:00
,d6-dice-sharp-flamingo,Sharp Flamingo D6 Dice,Sirius Dice,D6 Dice,25,25,25,,https://siriusdice.com/products/d6-dice-sharp-flamingo,Stick your rolls with these beautiful sharp-edged D6 dice.  Six (6) D6 Sharp Flamingo dice in a flat-bottomed tube.  Dice are clear and feature a pink and a gold swirling ball at their core.,"D6, Dice, Pink, pink dice, pink dice set, sharp edge dice, Sharp-edge",2022-02-19T12:26:03-05:00,2025-08-08T14:57:28-04:00,2022-02-26T13:53:20-05:00
,dice-set-rainbow-gold,Rainbow Gold Dice Set,Sirius Dice,Polyhedral Dice Set,16,16,16,,https://siriusdice.com/products/dice-set-rainbow-gold,"The Rainbow Gold set features 7 polyhedral dice with red, green, blue, and magenta on a pallet of yellow gold.  Each set includes a 1 extra D20 and comes packaged in a flat-bottom tube, for easy carrying and storage.

Style: Rainbow Gold

Colors: gold, blue, red, green, and magenta

D20 Size: 22mm","Blue, Gold, green, magenta, Purple, Red",2022-09-23T12:47:18-04:00,2025-08-08T14:57:31-04:00,2022-09-23T12:54:57-04:00
